,Review,Ground_Truth_Label
10,"I have to say that Higher Learning is one of the top 3 movies I have ever watched. It has a brilliant cast, and an equally brilliant director. Singleton shows how life in University can be. There are 3 main story lines, the skinheads, the African-Americans, and the homosexuals. I was intrigued by all of the stories, but the one that got to me the most was the storyline about Kristen, battling her feelings towards another girl. The end was great. After seeing the movie 25 times plus, I still cry. I would have given this movie an 11, but I have to settlefor 10/10.",Positive
11,"Kurt Russell is so believable and the action so non-stop that it takes thinking about it afterward to realize that there were honest-to-goodness important themes [overcoming fear of The Stranger, learning to rise above early conditioning, the strength that love and friendship can bring, etc.] in the storyline. This is so very rare for a 'guy's action flick' that even I [who thinks most A/A is violent pap] liked the film and have recommended it to every guy I know.....it's a shame this one was overlooked because by rights it should have been one of the biggest action-adventure box office hits -- it has something for everyone without straining credulity or losing the nearly non-stop action moments. I'm afraid the answer to it not becoming a hit lies in the fact that adults did not go to see it. Anyone under 20 probably has not only seen more violent action in their video games but probably would either not catch the multi-layered, multi-themed beauty or not care about it. This film could convert anyone who avoids A/A as mindless violence. If a guy takes his lady [or rents it or sees it in a cable listing] to see this film he'll be much more likely to get her to go with him to other action flicks.",Positive
12,"The story of a drifter, his sheep ranch boss, and the boss's daughter is not for all tastes, but it's still very intriguing. It takes place in the beautiful country of New Zealand, amongst the scenery we've come to know so well through other films from this region.<br /><br />This movie was the first time I had ever seen the excellent Mary Regan, and I've been a fan of hers ever since. The cast also contains Bruno Lawrence, who is probably best remembered by American audiences from the film ""Smash Palace"". Terence Cooper takes a turn as the ranch owner who pays a little too much of the wrong sort of attention to his daughter (Regan). <br /><br />Sharply acted, with unforgettably shattering performances from all of its leads. I first saw this movie in extremely edited form on late night television here in America, but believe you me, the unexpurgated version is not to be missed.",Positive
13,"This TV movie goes to show that bad films do exist. The only reason I saw this was it was covered on a KTMA MST3K. It's Super Bowl at the Superdome in New Orleans. However, no football is played whatsoever and we see the behind the scenes look at basically nothing. With the many stars in this film, it made no difference. I really don't know why I watched this.",Negative
14,"Radio was not a 24 hour 7days a week happening when I grew up in the 1930s England, so Children's Hour was a treat for me when we had batteries and an accumulator to spare for the power. The few programmes I heard therefore made a great impression on my young mind, and the 3 that I recall still are ""Toytown"", one about all the animals at the Zoo, and --- Grey Owl, talking about the animals he knew, which he called his ""brothers"". It was only in recently that I learnt that Grey Owl wasn't a genuine ""Indian"", but the tribute paid by the Sioux Chief makes great sense to me ""A man becomes what he dreams"". Would that we could all dream as world changing and beneficial as Archie Grey Owl Belaney. Would that a new Grey Owl could influence world leaders to clean up the environment.",Positive
15,"while watching this movie I got sick. I have been grewing up with Pippi and every time was a real pleasure. when my wife came to Sweden she was looking at the oldies and had a real good laugh. but this American version should be renamed and never be shown again. it is terrible from beginning to it's end. how can they manage to make it soo bad. well I guess someone blames the translation ha ha ha.. but they are never close to Pippi. may this movie never been seen again and never sent out on a broadcast. burn the movie and save the kids. if you want to look at Pippi then look at the original movie and have a good laugh. WE LOVE PIPPI INGER NILSSON, sorry Tami Erin you will never stand up to be Pippi.. Oh yes.. when read the ""spoilers"" explanation, ""'spoiling' a surprise and robbing the viewer of the suspense and enjoyment of the film."" well I guess the director stands for this... you are looking at this movie at your own risk.. it is really a waste of time...",Negative
16,"Hmm, IMDb rating of 7.5, good comments, bla, bla ... okay, two of my friends and me, we orderd Pizza, sat down and wanted to see something as cool as Ichi or at least something brainless but funny like Versus. But Naked Blood sucked. It's a complete waste. Okay, the scene with the woman who likes to eat is quite outstanding. But that's it. Nothing more, nothing less. I won't summerize the plot, other people did already, I just wanted to stop the hype. But watch it and rate for yourself. Maybe we can push the rating where it sould be. One more thing that comes to my mind: the soundtrack is even worse than Carpenter ever was - okay, John's cool ... :) 2/10",Negative
17,"This is a film I saw when it first came out, and which I have seen a few more times over the years. It's always enjoyable.<br /><br />One thing is that the comedy does not take sides: it skewers labor and capitalists equally. Only Sid seems outside the classic struggle, even though he's responsible for it. <br /><br />Spoiler warning: do not read further if you haven't seen the film <br /><br />This is a fantasy, though presented fairly plausibly. Ask yourself: could someone support most of his or her weight in a single strand of fabric? It would cut through almost any support.<br /><br />Also, when cornered in an alley, Sid uses a garbage can cover like a knight's shield. Cute symbolism.<br /><br />Someday, I'll get this on DVD.",Positive
18,"Same old same old about Che. It completely ignored the really interesting facts of Che's true character. Sodeberg redid the same boring narrative of Che. The silly seductive tale of an Argentinean rich-boy who was so shocked by poverty he became a Robin Hood fighting alongside the poor, until eventually he was murdered by the CIA. Yeah, yeah, heard it all before, BORING AND UNTRUE!. The reality of Che Guevara is very different and far more explosive! The facts show that he was a totalitarian with a messiah streak, who openly wanted to impose Maoist tyranny on the world. He was so fanatical that at the hottest moment in the Cold War, he even begged the Soviet Union to nuke New York, Washington or Los Angeles and bring about the end of the world. CHe urged Khrushchev to launch a nuclear strike against US cities. For the rest of his life, he declared that if his finger had been on the button, he would have pushed it. When Khrushchev backed down and literally saved the world, Che was furious at the ""betrayal"". If Che's recommendations had been followed, you would not be reading this review now. How a homicidal maniac became a pop icon would have made a much more interesting film. Incredible that no filmmaker has been daring enough to show the real side of Che and his posthumous media transformation. THAT WOULD MAKE AN Oscar WINNING FILM! I thought making independent film meant taking REAL RISKS and being GROUNDBRAKING! They only stick to ""safe counterculture themes"", to wit, ""Che cool"", ""Wall Street bad"", ""Republican= Nazi"", ""Bush ex Hitler"", ""NRA is worse than KGB"", ""Christians are fanatics and stupid"", etc...ad nauseum. Oooh, how daring, how mind blowing. Tres anti-mainstream and edgy. I wish they would have some real cojones and tackle the Independent Film Oligarchy! That would be truly daring!",Negative
19,"Panic delivers the goods ten fold with Oscar caliber performances from William H Macy, Neve Campbell, and Donald Sutherland. In a movie about the choices we make and the consequences we live with. Chillingly Honest and thought provoking, Panic is easily one of the best film to come out of Hollywood in years. The impact stays with you right after you leave the theater.",Positive
20,"At first glance I expected this film to be crappy because I thought the plot would be so excessively feminist. But I was wrong. As you maybe have read in earlier published comments, I agree in that the feminist part in this film does not bother. I never had the idea that the main character was exaggerating her position as a woman. It's like Guzman is presented as somebody with a spine, this in contrast to her classmates. So I was surprised by the story, in fact, I thought it was quite good, except for the predictable end. Maybe it would've been a better idea to give the plot a radical twist, so that the viewer is somewhat more surprised.<br /><br />In addition, I'd like to say that Rodriguez earned her respect by the way she put away her character. I can't really explain why, but especially in the love scenes she convinced me. It just looked real I think.<br /><br />I gave it a 7 out of 10, merely because of the dull last half hour.",Positive
21,"Hidden Frontier has been talked about and reported on by several news agencies for their long commitment to creating the best Star Trek stories and to providing an example of the togetherness that was Gene Roddenberry's mission. Their focus on homosexuality, depression, war, and acceptance of different races is on par or exceeds those of the other Trek series and movies. The production value started off as smaller and choppy but over the 7 seasons of production the acting has improved, the stories are more complex, and the visual graphics have gotten smoother and more impressive. In season 6 episode 1, Countermeasures, there is one of the biggest space battles in Trek history. The ships are rendered well and the space battles are impressive and exciting. The real draw to Frontier is not the ships or the backgrounds, but it is the people and the interplay and growth of characters. There are also nods to other Trek series and movies with places and characters we all know. I recommend any Trek fan to check out Countermeasures and you will be hooked!",Positive
22,"Besides Planes, Trains and Automobiles and Uncle Buck, this is John Candy's funniest movie. When he gets hypnotized with the playing card (similar to the Manchurian Candidate) and becomes a horny guy who does not know what he is saying, he makes two very memorable quotes (Both deal with the male anatomy). The love scene involving grocery items has to be seen, it cannot be described.<br /><br />",Positive
23,"This review may contain some SPOILERS.<br /><br />Just when you thought they didn't make them so extremely bad anymore, along comes Rae Dawn Chong as a space vixen and Willie Nelson as a Native American witchdoctor! It's even worse when you factor in that these two are the BETTER aspects of `Starlight,' a film that should only be viewed for laughs.<br /><br />Chong is an alien sent to Earth to seek out the only remaining half-breed, part man and part alien. Apparently, the Earth is in dire straits. Something is wrong with the genetics of mankind, and in a few decades the world will be turned into a polluted wasteland. Only by duplicating the DNA of the half-breed can the kindly alien race save the planet. Don't ask me how that is, since the movie gives the impression that the world will be destroyed by pollution, which is caused by humans. You would think Earth could only be saved by getting rid of the polluting creatures, not saving them! Anyway, the half-breed turns out to be Billy Wirth, a man living in a small Southwestern town and is part Native American from his mother's line, despite the fact that his mother is a red-headed Caucasian and his grandfather is Willie Nelson. Wasn't this the sort of malarkey that made the bombastic Carmen Electra bomb `The Chosen One' such a howler? Chong arrives in her ship just as Wirth nearly drowns after driving his motorcycle into a lake in a fit of recklessness being the result of just breaking up with his girlfriend. Before you can say utter the word `hogwash,' Chong is revealing her secret to Wirth, who isn't surprised for a moment, and spreading the word to Wirth's family. Chong also makes pals with Wirth's mother, who seems to have lost a few of her marbles over the years. Well, this is because Wirth's father was an alien that abandoned her. Of course, he is the standard rogue alien that has conveniently picked this moment to come to Earth for Wirth so he can use Wirth's DNA to make the people of Earth his slaves. (Huh?) His laughable attempts to use his telepathic powers and capture Wirth suck up most of the screen time and are the worst scenes in the movie. Not only are they boring, but they are the scenes where you will be spotting the flubs the most.<br /><br />The ideas might be nice on paper, but they are handled here with the utmost of stupidity, particularly in the aforementioned scenes with the rogue alien. But the effects are the bane of the movie. The opening scene involves Chong on her spaceship, communicating with her superior, someone who we do not see but that Chong communicates with through a vat that emits pink light. They use no spoken words, but telepathy, so we are treated to subtitles. Trouble is, both Chong and her superior's subtitles both look alike, and the director gives you no indication as to which of the two are actually `speaking' at any given moment, which makes the whole conversation nothing but gibberish. The spaceship is the worst effect to come out of Hollywood this side of an Ed Wood film. Now, I am usually lenient on effects when dealing with a low budgeted film such as this, but these effects really got to me. The most offensive was the most simple one: a fake night sky. The stars in the sky are so phony they almost sound off a dial tone. Most notably are the moments where Chong tells someone she comes from Pleiades, and we get a shot of the seven stars. Thing is, the seven stars take up about half the night sky in the movie, but any stargazer knows that Pleiades is a star cluster between the constellations Perseus and Taurus, and the cluster doesn't take up much room in the sky at all. These effects just get so lousy that your jaw will hang lower and lower with every passing moment. Be careful, for it will go right through the floor during the finale when the effects have Willie Nelson turn into a human spotlight and . . . Oh, it has to be seen to be believed!<br /><br />Starlight, star bright; Last star I see tonight; I wish I might, I wish I may; not have to watch any more of this trash today.<br /><br />Zantara's score: 1 out of 10.",Negative
24,"I remember watching this film on Saturday afternoon TV in the 1950s or 60s. It was well presented but I do remember there was a message of hope broadcast from transmitters secreted in lamposts in one of the last maniacal executions for impending liberation. I'm not sure that squares with the facts.<br /><br />Still the film is well done. The German High Command reports wryly without emotion ""The Russians are advancing down The Fredrich Strasse"" as if all went according to plan.<br /><br />it was my impression that this film and a later American made for TV knock-off was based on the British historian Trevor-Roper's account by a similar title Last Days of Hitler. I was surprised to see no credit to Trevor-Roper.<br /><br />I agree the newest German film on the subject DOWNFALL was as well done as the classic. The American knock-off was a little flat.<br /><br />Few figures have attracted as much attention from the cinema as Adolph. Yet I find it interesting that none of the many films and books that have come out ever speak of Hitler's double alluded to in passing in John Toland's magnificent historical piece.<br /><br />Was gibs?",Positive
25,"Massive multiple chills down the spine! I'm surprised there's people who didn't like it! I saw it at 10 o'clock in the morning and still got scared stiff! And I've seen hundreds of thrillers/horror movies! For crying out loud,I'm 22!!! I mean, OK, voice acting, not particularly good, probably even b-movie-ish. But the genuine look of terror, the sound effects, the flow! From the very start, hitting you again and again with relentless, unforgiving, terrorising scenes! So many clichés yet none fails to surprise/scare! You know it's coming, it's coming, it's coming, BOO! and you still jump off the chair. Grab a pillow and a blanket, call your closest friend over and do not watch it at night! Hats off to the Japanese!",Positive
26,"This movie earned every one of the ten votes I gave it! Thank you guys for making a movie worth watching. You showed the world,you can still write, direct, produce and star in a black movie without the negative stereotypes. The poetry was awesome as well, hats off to the poets and musicians.<br /><br />I watched it last night, as I fell in love with my darling all over again. I will be adding it to my movie collection today, and recommending it to my friends and family.<br /><br />Please continue to produce quality, don't worry about the quantity....<br /><br />Thank you again, and best wishes and blesses to you!",Positive
27,"Maria Braun is an extraordinary woman presented fully and very credibly, despite being so obtuse as to border on implausibility. She will do everything to make her marriage work, including shameless opportunism and sexual manipulation. And thus beneath the vicey exterior, she reveals a rather sweet value system. The film suffers from an abrupt and unexpected ending which afterwards feels wholly inadequate, with the convenience familiar from ending your school creative writing exercise with 'and then I woke up'. It is also book-ended at the other end with the most eccentric title sequence I've ever seen, but don't let any of that put you off.",Positive
28,"Domini Enfilren (Marlene Dietrich) has spent most of her life caring for her father. Now that he has died she is free--but doesn't know what she wants. Boris Androvsky (Charles Boyer) is a monk who has fled a monastery to taste more of life. They meet accidentally in Algiers, fall in love and get married. But he can't leave his past behind and she can't live without him...<br /><br />WAY overdone romance full of hysterically bad dialogue and situations. Dietrich and Boyer do their best to give good performances but NOBODY could get away with some of their lines! Still, in a way, it is a classic. It's shot in gorgeous Technicolor (try to see it on DVD) where every frame is breath-takingly beautiful. Dietrich is always dressed to the 9s (even in the middle of the desert) and strikes hysterical poses to show off the clothes and her body. Boyer just walks around looking stricken (no shock there). Still I was never bored. It was wonderful to look at and the non-stop stupid dialogue kept me in stitches. The end almost had me falling out of my chair because I was laughing so hard! Now I love corny romances and give them plenty of space but really---this is unbelievable! It also runs a very short 80 minutes.<br /><br />As a camp classic I give this an 8. As a serious movie--a 1.",Positive
29,"This movie is bufoonery! and I loved it! The ""dragon lord"" (Jacky Chan) and his buddy, ""cowboy"", totally made the movie fun, meaningful, and just plain silly. The movie is a rare blend of a good vs. evil fight and (somehow) the wonders and fun that is growing up. Long Shao Ye takes the viewer through the daily activities of the young ""dragon lord"" (so named because he is the son of a wealthy family) and ""cowboy"", which include implementing clever, elaborate ways to escape studying (with the help of the entire household, including the tutor), competing in rather boyish (and idiotically interesting) ways to gain the affection of a local girl, competing in ""soccer"" (you will see what i mean) and the list goes on. Somehow they find themselves in the midst of a fight to save the a shipment of valuable antiques and the lives of several people.<br /><br />The movie has its serious moments. But they do not depress, but rather inspire. The playfulness of the boys are not lost in this exchange, but is actually employed against evil. What I really loved about this movie is how it ends. Not the typical confrontation (which in itself was awesome), but well, you'll see. Let me just say it truly captures the spirit of the movie.<br /><br />silly, witty, meaningful, and nostalgic. great movie.",Positive
30,"Richard Linklater's beautifully directed mixture of youthful romance and Paris travelogue is one of the 90's best thinking person's romantic movies. Julie Delpy turns in one of the decade's most engaging performances as the Parisian lass who spends a day with stranger-on-a-train Ethan Hawke. The dialogue (and there is oodles of it) is sometimes meandering and overly precious, but this portrait of two young wannabe-lovers making a romantic, intellectual, and spiritual connection to one another is full of wonderfully amusing, touching and insightful moments.",Positive
31,"Amazing acting, music. A simple and clear plot but it drew me in and kept me captivated all the way through. I don't know why it was so fantastic but it simply was. So many of the characters were so real. It moved me and made me think I would like to watch more like this.<br /><br />The idea of a school trip as a forum for such an amazing plot was a genius idea and so many of the people were like people were like those encountered every day by teachers in the classroom.<br /><br />The film tackles issues of religion, prejudice,drugs friendship, memories, difficult experiences and simple the diversity of life itself.",Positive
32,"I read a few reviews of this TV movie which all said that the film dragged on for too long and that it was basically only sensationalistic entertainment. I agree that perhaps, the film goes on a bit too long (2h30 would have been enough...) but I certainly do not think it sensationalize the subject matter. Jim Jones' expansive power trip and slow degradation into mental illness, paranoia and drug abuse are never treated in a voyeuristic manner. The movie takes its time in showing how Jones recruited followers (Brenda Vaccaro's and Brad Dourif's character are stand-outs in that matter) but also in observing an uncanny shift in Jones' perception of reality. It is mind-boggling to see an egalitarian, left-wing and compassionnate preacher become such a destructive and cruel dictator. Perhaps the movie doesn't explore Jones' motivations enough, which can make the whole ordeal a bit superficial at times (may have to do with censorship as well...) But Powers Boothe's mesmerizing performance makes it all come true. I am not familiar with the details of the real Jim Jones' life, but Boothe sure makes the monster he plays believable and real. The movie features many strong scenes, among them the preaching messes of Jones, Jones's meeting with Father Divine (a remarquable James Earl Jones), Congressman Leo Ryan (Ned Beatty)'s visit to the Guyana camp and of course, the suicide scene. It is quite a gloomy spectable to watch and Boothe is quite commanding in those last moments. Madge Sinclair shines in this scene as one of the suddenly sceptic follower, and so do Veronica Cartwright (as Jones' wife) and Brad Dourif, especially when their time comes to drink the murderous potion. The relative calm of the end of this scene, the tasteful direction and the contrasting beauty of the natural surroundings all work in making those images quite impossible to erase from one's mind. A disturbing reflection on human nature and its weaknesses. Worth watching, if only to keep in mind one of the truly horrific events of the 20th century. Not to let it be repeated again. Like, ironically, the inscription in Jim Jones' camp: ""Those who do not know the past are bound to repeat it"".",Positive
33,"For me,this is one of the best movies i ever saw.Overcoming racism,struggling through life and proving himself he isn't just an ordinary ""cookie"" ,Carl Brashear is an amazing character to play ,who puts Cuba in his best light,best performance in his life.De Niro,who is a living legend gives THAT SOMETHING to the movie.Hated his character in movie,but he gives so much good acting to this film,great performance.And appearance of beautiful Charlize was and as always is a big plus for every movie. So if you haven't seen this movie i highly recommended for those who love bravery,greatness who seek inspiration.You must look this great drama. My Vote 9/10.",Positive
34,"The plot is straightforward an old man living off a main road in woodland one day witnesses a man murdering a child in the woods. Soft For Digging follows the old man's attempts to try and convince the police that what he saw was not a figment of his imagination. However, there is a problem each time the old man guides the police to where the murder happen no corpse can be found. Soft For Digging has a diminutive dialogue which reflects the majority of the scenes of the film, an old man living by himself in a house. During the film I found that I was scared twice namely when the murdered child abruptly appears before the old man. The rest of the film I have to admit did not engage me; I found the tempo of the film a little too slow. The limited dialogue was not a problem. However, the development of the story and its conclusions, after watching the film, took too long. I feel more could have been made of the relationship, ghostly encounters, with the child and the old man. Alone in the woods at night unsure of your own mind can lead to some eerie situations, children are always scary as ghosts, see Dark Water.",Negative
35,"What was always missing with the Matrix story was how things came to be in the real world. Say no more, because this part of the story covered most of the bases. What was truly interesting was how political it was, maybe even a cheap shot at the current presidential administration. Fascism and violence were the only things man could think of in regards to fighting the robotic horde, who were meant as nothing more than servants to humanity. What I also found interesting was the use of fear and how it was perpetuated by the idea of the unknown. We as humans tend to fall into that trap quite often, letting the lack of logic and thought overtake us because people can't believe the contrary. Well represented and put together, this a true testament to how illogical humans can be.",Positive
36,"There is a lot of talk of torture these days. That's all this movie is. It's about a good person who makes a bad decision. Because of his kindness, he becomes vulnerable to two psychotic women. From then on its a just-for-kicks assault on him. I don't know at what point you do something about it. There is a wife and child out there somewhere; he has great feelings of guilt and fear. But there should have been some times when he could have acted. The movie seems to be somebody's joke. I suppose in the wake of the Manson murders, we had a bit of a fixation on the likes of these two. Nevertheless, why would someone make a film like this? What appeals does it have except for sadism. The conclusion is totally unsatisfying, but that could have been remedied with an obvious plot twist. Oh, well. Another hour and a half of my life.",Negative
