,document,summary,id
57,"Prosecutors accuse Fifa president Sepp Blatter of making a ""disloyal payment"" of $2m (Â£1.6m) to Mr Platini.
Mr Platini has provided information to the investigation but said he did so as a witness.
Both men deny any wrongdoing.
Mr Platini has said he is still determined to run for Fifa president once Mr Blatter steps down.
Asked whether criminal proceedings had been opened against him, Mr Platini said: ""Absolutely not. I was heard last week by the Swiss Authorities only as a person providing information and I cooperated fully.""
But this was contradicted by the Swiss attorney general, Michael Lauber, who said: ""We didn't interview Mr Platini as a witness, that's not true. We investigated against him in between as a witness and an accused person.""
Mr Lauber also said he was prepared to search the Uefa headquarters as part of the investigation.
The allegations centre on a payment made to Mr Platini in 2011 at Fifa's expense for work he completed almost a decade earlier.
It came just two months before Uefa gave its backing to Blatter's 2011 presidential campaign, leading some to question the timing of it.
Mr Platini said he was told when starting the work that Fifa would not be able to pay him all the money because of its ""financial situation"".
But Fifa accounts show a revenue surplus of around $83m (Â£55m) from 1999-2002, when Mr Platini undertook the work as a technical adviser.
Fifa was thrown into turmoil this year when the US and Swiss authorities launched separate investigations into corruption at the body.
Mr Blatter is also suspected of signing a contract that was ""unfavourable to Fifa"". He is due to stand down next year, but says he will carry on in the role despite the criminal proceedings.","Michel Platini, the head of European football's governing body Uefa, is being treated as ""in between a witness and an accused person'' by Swiss prosecutors investigating corruption at the world football authority Fifa.",34396551
58,"The 41-year-old reached the semi-final for the first time since he last lifted the trophy in 2011 with a 13-6 win over Kyren Wilson.
The world number six will now face the winner of Stephen Maguire's match against Barry Hawkins for a place in Sunday's final.
""I believe I can [win], and that's a great feeling to have,"" Higgins said.
""I was close last year, Alan [McManus] pipped me [in the quarter-final],"" he added.
""A couple of years after 2011, I'd been losing, my form wasn't great and you don't think you're going to get back to that one-table set up.
""It's the best place in the world to get out and play and I can't wait to get into the arena tomorrow [Thursday]. I'm buzzing.""
Higgins won all three sessions against Wilson, the world number 16, and believes his game has grown in strength over the course of the tournament.
The Scot considers reigning champion Mark Selby as the favourite for the title, while his pre-competition tip was Hawkins. Yet Higgins is in a good place mentally as he prepares for the semi-final.
""The nerves get more difficult, but I'm more relaxed this year,"" he said.
Media playback is not supported on this device
""I don't know if that's because I feel as if I'm playing OK. At this event, you need to have a few sessions when you have good, frame-winning breaks. I did that against Mark Allen and in the second session against Kyren.
""To win this event you need a couple of sessions when you're dominating the other player. I feel as if my game can be there to do that but I'm sure other players will say the same thing.
""There are some sessions, especially this year, when I couldn't have played any better. I played [Ronnie] O'Sullivan in the final of the Champions and couldn't have played any better. You've just got to hope that comes out in the big matches.""
Maguire was once tipped as a potential world champion by O'Sullivan, and Hawkins said the Scot is benefitting from curbing his socialising at tournaments.
Higgins would like to face his compatriot Maguire in the semi-final, because it would guarantee that a Scot will feature in Sunday's final.
""Everybody's got their own choices in life and us Scots, we maybe like a drink and there's nothing wrong with that,"" Higgins said. ""Life's too short.
""Stephen is a great player and I hope [he] comes through. If he was to beat me, I would be the first one to cheer him to win his first world title.
""But I get on well with Barry as well and I know how difficult he is to beat. In the last few years he's grown into a great champion, because he always had the game and he's got the belief now.""",John Higgins believes he has the ability and the form to win his fifth World Championship.,39720944
60,"Doug Richard, 57, allegedly paid for the girl and her 15-year-old friend to travel from Norwich in January 2015.
The jury was told he took them to a Bishopsgate flat, where he spanked the younger girl and had sex with her.
He denies sexual activity with a minor and paying a child for sex.
Mr Richard, a US citizen who lives in Islington, north London, says the sex was consensual and that he ""reasonably believed"" the girl was over 16.
He gave a total of Â£480 to the teenager and her friend, which he says was for ""travel expenses"".
Prosecutor Gino Connor told the jury how Mr Richard met the girl through a US website where he listed his profile as a ""sugar daddy"", while 13-year-old called herself a ""sugar baby"".
During an iChat exchange retrieved from his laptop, the defendant asked her for a ""revealing"" photograph on her hands and knees.
""You are my new daddy I will do anything to keep you happy,"" the girl replied.
They arranged to meet and Mr Richard made a payment of Â£120 through PayPal, the court heard.
The girls travelled to Liverpool Street station on the morning of 2 January, where they met Mr Richard in a nearby cafe.
He asked their ages and they told him they were 16 and 17, the court heard.
Police were alerted after the mother of the older girl noticed a PayPal deposit in her bank account.
An examination of the 13-year-old on 4 January indicted she had suffered an injury that could have been caused by sex.
Mr Richard was arrested the following day at the Lord Milner Hotel in Belgravia.
The court heard he reacted by saying: ""As you can see I am in a lot of trouble.""
The trial continues.","A former Dragons' Den star paid a 13-year-old girl for sex in a rented London apartment after meeting her on a ""sugar daddy"" website, the Old Bailey has heard.",35403375
62,"The South African was the fastest qualifier for Saturday's final with a time of one minute 57.67 seconds.
""Caster Semenya is one of the contenders,"" Mutola, who won the 800m Olympic title at the 2000 Olympics, told BBC Africa.
""Pamela Jelimo from Kenya and the Russians are also very, very capable. I'm looking forward to a good final.""
Mutola, 39, set the benchmark for women's 800m running until her retirement in 2008, winning three world titles and the Olympic title in Sydney.
Semenya, who won the 800m title at the 2009 World Championships, asked her ""idol"" Mutola to be her coach at the end of last year with the sole purpose of helping her win Olympic gold.
The 21-year-old looked comfortable in the semi-finals, producing a burst of speed down the back straight to move to the front of the pack and take the line two metres clear of her rivals.
""In 800m you need to be able to run a fast race, and you need to be able to win a tactical slow race,"" explained Mutola, who is in London to fine-tune Semenya's preparations.
""You [need to] combine those two things - so if the race is slow you can win anyway and if the race is fast then it's even better, [as in] the final they'll have to dip under two minutes.
""Since I've got here I've focused more on my athlete Caster Semenya as I know she has to do well, so I'm just enjoying being a coach for the first time.""
Semenya became global news when she was asked to take a gender test by athletics' governing body the International Association of Athletics Federations in the aftermath of winning her world title.
Doubts were raised over her gender because of her muscular physique, running style and sudden improvement in times.
Semenya was suspended for 11 months by the IAAF but was cleared to return to the track in July 2010.
She won silver at last year's World Championships in Daegu despite a back problem.",Mozambique legend Maria Mutola says her protege Caster Semenya can win the Olympic 800m title on her debut.,19212345
63,"According to AP, the lawsuits accuse them of serious safety lapses.
Rashad Charjuan Owens has been in jail on murder charges since March after four people died when his car broke through a barrier at the music, film and interactive festival.
The crash, which happened outside the Mohawk venue, also injured 23 people.
Among several wrongful deaths lawsuits was one from the family of Steven Craenmehr, a Dutch music executive, who was knocked off his bike.
His widow and mother claim that SXSW organisers didn't put enough traffic safeguards on the roads for pedestrians during the event, which sees thousands of bands performing at venues across Austin.
""A festival organiser or traffic design consultant of ordinary intelligence would have anticipated the danger,"" the lawsuit says.
Lawyers for SXSW released a statement which read: ""What happened on Red River was a terrible tragedy, caused by Rashad Owen's utter disregard of human life.
""Our hearts continue to ache for those injured and the families of those who lost their lives.
""We look forward to his prosecution for his awful crimes.""
Authorities say that Owens drove his grey Honda Civic through a barricade after an officer on a drink-drive patrol tried stopping the car.
According to police, his blood alcohol level was .114, above Texas' legal driving limit of .08.
In September, a SXSW safety report found that alcohol consumption and overcrowded venues during the event had left Austin facing a ""critical point where public safety could be compromised"" if changes are not made.
Organisers called the report incomplete and said it failed to address root issues.
SXSW is known as one of the world's best platforms for rising music talent.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube","The families of the victims of a fatal car crash at this year's South by Southwest (SXSW) in Austin, Texas, are suing its organisers.",30548367
67,"His departure was said to be one recommendation of a report  by former US Attorney-General Eric Holder about the company's culture and practices.
Uber said the board had voted unanimously to adopt all the report's recommendations.
However, its contents will not be released until Tuesday.
Mr Holder was asked to undertake the review in February after former Uber engineer Susan Fowler made claims of sexual harassment.
The Financial Times reported that neither Uber nor Mr Michael would comment on whether he had resigned or been fired.
James Cakmak, an analyst at Monness Crespi Hardt, said Mr Michael's departure reflected Uber's need for a ""fall guy"" and could help protect Mr Kalanick.
""If Kalanick did leave, we think it would be very difficult for him to come back,"" Mr Cakmak told Bloomberg.
It is possible Mr Kalanick could be forced to take a leave of absence or have his role altered. That issue was on the agenda at a seven-hour board meeting held in Los Angeles on Sunday.
Mr Kalanick has been on bereavement leave following the death of his mother in a boating accident.
An Uber insider said the recommendations in Mr Holder's report include introducing more control on spending, human resources and other areas where executives led by Mr Kalanick have had an unusual degree of autonomy for a company of Uber's size.
The San Francisco-based ride-hailing service has more than 12,000 employees.
Mr Kalanick has earned a reputation as an abrasive leader and was criticised earlier this year after being caught on video berating an Uber driver.
He said in response to the video: ""I must fundamentally change as a leader and grow up.""
Uber board member Arianna Huffington has said Mr Kalanick needed to change his leadership style from that of a ""scrappy entrepreneur"" to be more like a ""leader of a major global company"".
One Uber investor said the board's decisions were a step in the right direction, giving the firm an ""opportunity to reboot"".
Jan Dawson, an analyst with Jackdaw Research, said: ""This week we finally learn just how committed Travis Kalanick and the rest of the senior leadership team at Uber is  to meaningful cultural change.""
Last week Uber said it fired 20 staff after another law firm examined more than 200 cases including complaints about sexual harassment, discrimination and bullying.
As part of its attempt to draw a line under its recent problems, Uber said it had appointed Wan Ling Martello, a Nestle executive and Alibaba board member, as an independent director.
She is the third high-profile female appointment to the company in the past week.
Uber, which is still privately owned with voting control resting with Mr Kalanick and his two board allies, is valued at about $68bn. Although revenues hit $6.5bn last year, it is yet to make a profit.","Emil Michael, Uber's senior vice-president and a close ally of chief executive Travis Kalanick, has left the company, employees have been told.",40254388
72,"The Supreme Court's decision to uphold the death penalty of Pakistani national Mohammad Ajmal Amir Qasab, the sole surviving gunman of the 2008 attacks on Mumbai, has opened the debate once again.
Predictably, the main opposition Bharatiya Janata Party (BJP) has been quick to demand Qasab's swift execution ""as those who wage war against the country and kill innocents deserve no mercy"".
Qasab can still appeal to the highest court to review the verdict; and his last hope lies with a plea for clemency to the president.
His appalling crime of gunning down innocents surely qualifies as a ""rarest of the rare crime"", a condition for handing out the death penalty in India.
But, as critics of capital punishment say, there's no evidence to show that the death penalty deters crime.
Two-thirds of the world's countries have done away with the death penalty in law or in practice. Last year, according to Amnesty International, death sentences were imposed in 63 countries, but only 21 countries actually carried out executions.
India has shied away from executing people for many years now.
There have been only two hangings in the country in the past 12 years and the majority of convicts on death row can expect their sentences to be commuted to life. Former president Pratibha Patil commuted the death sentences of 35 convicts midway through her five-year term.
Clemency pleas of 29 prisoners on death row in India are pending before the president. They include Afzal Guru, who was convicted for carrying out an attack on the Indian parliament in December 2001. The Supreme Court upheld his death sentence as long ago as 2004.
Then there is a serious practical problem: there are only one or two hangmen available in India. Two years ago, I met one in a Calcutta prison who had been employed as a hangman-cum-sweeper, and was still waiting to carry out his first execution.
Recently, 14 retired Indian judges wrote to the president asking him to commute the death sentences of 13 inmates being held in prisons across the country. And the Supreme Court itself recently admitted that some death penalties it had upheld were erroneous.
""Public opinion in India can no longer ignore the global movement in favour of abolition of the death penalty,"" says AP Shah, the former chief justice of the Delhi High Court in an interview in today's The Times of India.
What do you think?",Should India abolish the death penalty?,19410108
73,"An operation to pump 3,000 tonnes of water out of the Hoegh Osaka is expected to last until Sunday.
But poor weather conditions has made it unsafe for the salvors to board on Saturday to finalise pumping arrangements.
High winds of up to 83mph during the night caused the vessel to drag anchor for approximately 100 metres.
The ship had been anchored to help control its movement.
Salvage company Svitzer described working conditions on board as ""difficult"".
The Hoegh Osaka has been secured two miles (3.2km) east of the Bramble Bank sandbank from which it freed itself on Wednesday.
Water, described as being ""lightly contaminated with oil"" is being pumped from the ship's hold, which salvers say will cause the ship's 50-degree list to decrease.
The film of oil on the water is believed to have come from vehicles held within the hold.
With no power from the ship's generators, the water is being discharged using portable pumps during daylight hours.
The Maritime and Coastguard Agency (MCA) said there was no evidence of any pollution.
Divers are also waiting until conditions improve to complete an inspection of the hull which began yesterday.
The Queen's Harbour Master has introduced an exclusion zone of 984ft (300m) around the vessel, currently held by tugs between Cowes and Lee-on-Solent.
Speaking at a press conference on Thursday, Hugh Shaw, the Secretary of State's representative for maritime salvage and intervention, said: ""I've got confidence the salvors can discharge the bulk of the water from sucking underneath the oil and that will leave us with a small quantity of oil on board the vessel.""
The 51,000-tonne vehicle transporter ""refloated"" itself unexpectedly at 14:00 GMT on Wednesday due to the high tide.
It was towed two miles east of Bramble Bank, where it was grounded on Saturday.
At a news conference on Tuesday, Bram Sperling of Svitzer, said there was some water inside because of a ""small opening in the vessel"" that had since been closed.
A refloat was the preferred option to avoid further damage to the ship from the sandbank.
Salvage experts boarded the ship on Monday and began carrying out an assessment to form a rescue plan.
The Singapore-registered transporter set sail for Germany at about 20:20 on Saturday, shortly before being deliberately run aground by the crew after it unexpectedly started to list.
There were 1,400 cars on board, including 1,200 Jaguar and Land Rover vehicles and 65 Minis, as well as 105 JCB machines and 500 tonnes of fuel.
Two crew members out of 25 rescued by RNLI Lifeboats and the Solent Coastguard on Saturday suffered non-life threatening injuries.
Two senior officers and a pilot stayed on board before being taken ashore.",High winds are affecting the operation to salvage the cargo ship that ran aground in the Solent.,30745137
75,"Peter Whittle said he would back Paul Nuttall as ""a leader who knows the party inside out and who can command the loyalty"" of all members.
Former deputy leader Mr Nuttall, former deputy chairwoman Suzanne Evans and ex- soldier John Rees-Evans remain in the contest, to be decided on 28 November.
Raheem Kassam also withdrew from the contest on Monday.
In a message on Facebook, Mr Whittle said Thursday's High Court ruling, which found that the government could not trigger Article 50 - the formal process of leaving the EU - without consulting Parliament, showed that ""the battle to ensure that the Leave vote in the referendum is respected is far from over and UKIP is needed more than ever"".
Mr Whittle, the party's culture spokesman and a former London mayoral candidate, added that the ""sheer breadth of Paul's political experience, his dedication to the values of the party and the obvious affection in which he is held by members make him the person who is best placed to take us forward"".
Nigel Farage is back as interim leader after his successor Diane James quit just 18 days into the job.
Mr Kassam, a former aide to Mr Farage, had endorsed Mr Whittle after himself pulling out of the race.",Another contender to become UKIP leader has pulled out of the contest - leaving three in the race.,37872311
77,"In the court filings, the organisations said that there was ""no adequate justification"" for the FBI to continue to withhold the information.
They added that they did not seek information that would jeopardise national security.
The groups sued the FBI last year.
Associated Press, Vice Media and Gannett, the parent company of USA Today, are seeking to learn more about the circumstances surrounding the event.
The FBI has never named the security firm or group of hackers who helped unlock the phone, which was used by killer Syed Rizwan Farook.
The process would have involved finding a way to bypass the passcode on a locked phone. In normal circumstances, if 10 incorrect attempts at the code are made, the device will automatically erase all of its data.
""While it is undisputed that the vendor developed the iPhone access tool, the government has identified no rational reason why knowing the vendor's identity is linked in any way to the substance of the tool, much less how such knowledge would reveal any information about the tool's application,"" lawyers for the news organisations wrote in the filing to the US District Court in Washington.
""Release of this information goes to the very heart of the Freedom of Information Act's purpose, allowing the public to assess government activity - here, the decision to pay public funds to an outside entity in possession of a tool that can compromise the digital security of millions of Americans.""
Farook and his wife killed 14 people in the Californian city in December 2015.
In February, a court order demanded that Apple help unlock the phone, something which Apple resisted, saying it was unable to do so.
It added that it hoped that the government would share with the company any vulnerabilities of the iPhone that might come to light.
There was speculation that the FBI paid at least $1.3m (Â£1.05m) to break into the phone, based on calculations following comments by FBI director James Comey who said that the agency had paid more to get into the phone than he ""will make in the remaining seven years"" in his post.
He added that it was worth it, even though no details of what was found have been released.",Three news organisations have asked a US judge to force the government to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,39038936
79,"Funerals have been held across the country for those whose bodies were released by forensic investigators.
Officials said the number of dead had risen to 358 after two badly burned victims died in hospital.
Honduran President Porfirio Lobo has ordered a safety review of all prisons as experts try to establish the causes of the blaze in the Comayagua prison.
Pathologists continue to try to identify the bodies of the victims, but said many were so badly burned they could only be identified through DNA testing.
So far, only 18 bodies have been released to their families for burial.
Deadly conditions
Of the 358 people who died, all but one were inmates. The other was the wife of a prisoner who had come to visit her husband.
Forensic experts from Chile, El Salvador, Guatemala and Mexico have joined their Honduran colleagues to try to speed up the identification process.
The United States has sent a team from its Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) to help with the investigation into the causes of the fire.
ATF team member Jose Oquendo said they would stay ""until the investigation is concluded, however long that may take"".
The Honduran Ministry of Public Affairs said there had been 852 people inside the prison when the fire broke out on Tuesday.
The prison was at double its capacity and there were only six guards on duty.
Survivors described how they desperately struggled to save themselves as firefighters tried to find the guards who had the keys to the cells.
The prison had no emergency evacuation plan.
President Lobo said he would ensure measures would be taken to improve the situation in the country's 24 prisons, which hold more than 13,000 inmates.","Relatives of the victims of Tuesday's prison fire in Comayagua, Honduras have been mourning the dead.",17087845
85,"Pre-tax profits fell to £78.7m in the first six months of the year, down 35% from £121.8m a year earlier.
It paid an additional £44m in gambling duties, following changes to the taxation of online betting and fixed-odds betting terminals.
William Hill also said it had bought a 29.4% stake in online lottery firm NeoGames for $25m (£16m).
Shares in the bookmaker had fallen more than 7% by late morning.
In December last year, a new Point of Consumption Tax came into effect, which applies to gambling profits generated from UK customers.
In addition, Machine Games Duty - the levy paid on fixed-odds betting terminals - was increased to 25% in March.
The company's chief executive, James Henderson, said: ""We have delivered a good operational performance in the past six months during a period of significant regulatory and taxation change for the industry.
""Whilst factors such as the Point of Consumption Tax and the increase in the Machine Games Duty rate have impacted our cost base as expected, we continue to progress our strategy and invest in our long-term growth drivers.""
William Hill's profits were also hit by one-off costs relating to the rebranding of its operations in Australia.
The fall in profit came despite a slight increase in net revenues to £808.1m from £805.2m a year earlier.
The bookmaker also said that the introduction of the government's National Living Wage would cost it about £1m-£2m in 2016.
Referring to William Hill's purchase of the stake in NeoGames, Mr Henderson described the online lottery market as an ""exciting opportunity"".
NeoGames' business is focused on the US, where lottery spending per head is the highest in the world, William Hill said.
The UK firm also has an option to buy the remaining 70.6% of NeoGames, which it can exercise after either three or five years.",UK bookmaker William Hill has reported a fall in half-year profits after being hit by changes to betting taxes.,33815489
86,"The Vikings finished outside the top eight in 2015, but last Friday's win at Wigan kept them at the top of the Super League table after seven games.
In football, Leicester are five points clear with seven games left.
""It's good, it's better being compared to someone at the top,"" Brown told the BBC Super League Show.
""I don't really listen to what people say about where we finish, as long as we're playing well and doing our thing you can compare us to whoever you want.
""If they're at the top of the league and going to win something, then I hope we can keep it up and they can keep comparing us to them.""
Media playback is not supported on this device
The Vikings have scored 230 points so this season, the highest in Super League, and only Wigan and Warrington have conceded fewer.
Key to their improvement has been the acquisition of strong forwards and a toughness instilled by head coach Denis Betts and his coaching staff.
""Our attack has been pretty good for the last few years but the fact we've got real lads working their socks off in the middle coupled with some really good edge defenders,"" said Brown.
""The lads who have come in have helped our attack but Chris Houston, Corey Thompson, Chris Bridge, Charly Runciman - these lads are competent, experienced players who know how to defend.
""Above everything the defensive side of game has improved out of sight.""
Media playback is not supported on this device
No team has scored more tries than the 42 by Widnes, an average of six per game.
And their six wins from seven is a record Brown says can be put down to the atmosphere within the club.
""I know it looks like we're just playing fancy-free, but there's a lot more structure and respect for the ball than that,"" he added.
""From Monday to Sunday it's fun all the way, the coaching staff make sure we're working hard and putting everything into it.
""But at the same time we're enjoying it, not just because we're winning, but the way we're playing is a good style and brand of footy.""",Widnes captain Kevin Brown welcomes comparisons with Premier League leaders Leicester City if it means they achieve success this season.,35862754
87,"This follows earlier warnings that the reef was experiencing its worst coral bleaching event on record.
Prof Terry Hughes from the National Coral Bleaching Taskforce told the BBC the link between bleaching and global warming was ""very well established"".
Rising water temperatures cause corals to drive out colour-giving algae.
The corals can die if conditions do not return to normal.
In pictures: Great Barrier Reef
Vinegar could help save Barrier Reef
The taskforce's survey shows that the extent of the damage is most severe in the northern section of the 2,300km (1,429 mile)-long reef, which lies off the coast of Queensland state.
Only 7% of the reef showed no signs of bleaching, Prof Hughes said.
The effects of El Nino, as well as climate change, are being blamed for the rise in sea temperatures that causes the bleaching.
More than 900 individual reefs were surveyed using a light plane and a helicopter, with the accuracy of the aerial survey then checked by teams of scuba divers.
""I'm inherently an optimist, but I think we have a rapidly narrowing window of opportunity to save the Great Barrier Reef,"" Prof Hughes said.
""If we don't take action on global warming it will become more degraded.
""After three bleaching events the mix of coral species has already changed.""
This bleaching event is far more severe than previous bleaching events recorded in 2002 and 1998, he said.
""We know that this time only 7% of the reef didn't bleach. It was closer to 40% in the other two events.
""If these events start coming as frequently as every five to 10 years there will not be sufficient coral regeneration,"" he said.
Tourism to the Great Barrier Reef generates $A5bn ($3.9b, Â£2.7bn) each year and employs around 70,000 people, the National Coral Bleaching Taskforce said.
""Thankfully many parts of the reef are still in excellent shape,"" said Daniel Gschwind, chief executive of the Queensland Tourism Industry Council in a statement.
""But we can't just ignore coral bleaching and hope for a swift recovery.""
The current worldwide bleaching event, which is also affecting reefs on Australia's north-west coast, is predicted to be the worst on record.
The Australian Department of Environment previously said that state and federal governments were investing a projected A$2bn over the next decade to protect the reef.",An extensive aerial and underwater survey has revealed that 93% of Australia's Great Barrier Reef has been affected by coral bleaching.,36080615
90,"The 12 men were accused of waging war against the nation, conspiracy and murder. One man was acquitted.
The serial bombings on 11 July 2006 killed 189 people and injured more than 800.
The attack was blamed on Islamic militants backed by Pakistan, an allegation that Pakistan has denied.
Sentencing is expected to be pronounced on Monday after judge Yatin D Shinde hears arguments from the prosecutors and defence lawyers. The guilty face the death penalty or life in prison.
""Justice has been done for the people of Mumbai.  I will ask for the strictest punishment when I argue for their sentences,"" public prosecutor Raja Thakre told reporters.
During the attack, seven blasts ripped through trains in the evening rush hour.
The bombs were packed into seven pressure cookers and put in bags. The co-ordinated explosions were detonated within 15 minutes Convictions in Mumbai train blastsof each other.
The blasts took place in the areas of Matunga, Khar, Mahim, Jogeshwari, Borivali and Mira Road, with most on moving trains and two at stations.
The bombs appeared to have targeted first-class compartments, as commuters were returning home from the city's financial district.
More than 200 witnesses were examined during the eight-year-long trial, which concluded in August last year.
Prosecutors say the attack was planned by Pakistan's intelligence agency ISI, and carried out by operatives of Pakistan-based militant group Lashkar-e-Taiba with help from the Students' Islamic Movement of India, a banned Indian group.
Pakistan had rejected the allegations and said India had given no evidence of Pakistani involvement in the attacks.
Mumbai's suburban train system is one of the busiest in the world, carrying more than eight million commuters a day.
Convictions in Mumbai train blasts
Reporting by Menaka Rao",A court in India's western Mumbai city has found 12 men guilty for their roles in the 2006 bombings of commuter trains.,34218396
92,"Wisconsin Governor Scott Walker declared 13 August ""Purple Hearts for Healing"" Day for the unnamed girl.
In a statement, her family thanked him for honouring ""our little hero"".
She was stabbed 19 times by two girls who told police it was in ""dedication"" to Slenderman, a fictional character on the website Creepypasta.
The family has been raising money for her medical bills and several Wisconsin businesses have come forward to host fundraisers.
""The compassion and love expressed to our family by the people of Wisconsin [and from people around the world] has greatly assisted our family in this healing process,"" the family said in a statement.
""The prayers, cards, hearts, notes, financial support, and now this heartfelt proclamation truly demonstrates that through this tragedy that there is so much goodness in the world.""
One of the two accused has been deemed mentally unfit to stand trial.
Morgan Geyser, 12, and classmate Anissa Weier, 12, have been charged as adults with attempted murder and face up to 60 years in prison.
Mr Walker's proclamation includes an invitation to join him in wearing purple in the girl's honour.
""This little girl is overcoming a terrible ordeal,"" he said in a statement.
""Her strength and determination are an inspiration, and on behalf of Wisconsin, I wish her well as she continues her journey to recovery.""
According to police, the girls planned to stab the classmate during a sleepover but instead decided to commit the crime the next morning in a nearby park.
Following their arrest they told investigators about their belief in paranormal figure Slenderman and their desire to become his ""proxies"" by killing to demonstrate their loyalty, police said.
The victim was found by a cyclist after crawling from the woods with stab wounds to her arms, legs and torso.
Doctors said the knife had just missed a major artery near her heart.",The family of a 12-year-old allegedly stabbed by two schoolmates have thanked their state governor for honouring her with a special day.,28765782
94,"The Scottish capital's trams began running on Saturday, after six years of disruption and cost increases.
Mr Salmond cited ""considerable public concern"" over the Â£776m project, which he said had disrupted homes and businesses in Edinburgh.
The problems included a dispute between the city council and its contractor.
The first minister stopped short of announcing a full public inquiry, raising concerns over the timescale, and instead decided on a ""non-statutory"" option.
Speaking during first minister's questions in the Scottish Parliament, Mr Salmond said: ""I am sure that everyone in Edinburgh, and indeed all over Scotland, will be delighted to see that the Edinburgh trams are fully operational and carrying passengers.
""We cannot, however, lose sight of the considerable public concern over the conduct of the project, the disruption it has caused to households and businesses in the city of Edinburgh.
""I therefore recommended to the Cabinet, and it has been decided, to establish a judge-led public inquiry into the Edinburgh trams project to establish why the project occurred significant overruns in terms of cost and timing, requiring in particular a considerable reduction in the original scope.""
He added that the government had been assured by the City of Edinburgh Council that it would fully cooperate with the inquiry.
The first minister added: ""There are lessons to be learned from the conduct of the Edinburgh trams project and I think the course of action we are proposing will be a substantial assistance in doing that.""
Mr Salmond was responding to a question from Marco Biagi, the SNP MSP for Edinburgh Central and an opponent of the city's trams, which run on an 8.7-mile route, from the New Town to Edinburgh Airport.
""All of us who opposed the trams project from the start as risky and over-engineered have been disappointed almost daily by being shown to be right,"" said Mr Biagi.
""Now that the trams are indeed rolling, if there is to be any faith from the public in future management or potential cost estimates for projects like this, we need to know for sure that these mistakes will never be repeated"".
In the decade since the first money was allocated to the project, the price has doubled, the tram network has halved and it has taken twice as long to build as originally planned.
Four years ago, a bitter dispute between Transport Edinburgh Limited, the arms-length company responsible for delivering the project, and main contractor Bilfinger Berger brought the whole project to a halt for months.","Edinburgh's troubled tram project will be investigated by a judge-led inquiry, Scottish First Minister Alex Salmond has announced.",27717735
97,"A number of options are being considered to improve care in the north of the county, including removing consultant-led services from Whitehaven's West Cumberland Hospital.
The boss of North Cumbria University Hospitals NHS Trust said it does not look like Whitehaven has the ""infrastructure"" to maintain services.
Midwives have raised safety concerns.
They have warned mothers and babies ""may die"" if consultant-led maternity services are removed from Whitehaven and concentrated at Carlisle Cumberland Infirmary.
Trust chief executive Stephen Eames told BBC Cumbria: ""The options we are looking at are likely to mean there will be changes in maternity services and they're likely to mean we'll need to concentrate our expertise in our consultant staff in one place.
""Everybody involved would prefer a consultant-led service in both, but I think the reality is it isn't just about maternity, it's about the other clinical services that support it.
""So while we've made some improvements in children's services recruitment it doesn't look like we can recruit the infrastructure to support two independent consultant-led services.""
Midwives at Whitehaven are concerned mothers facing unexpected problems would need a potentially risky 40-mile (64km) transfer across the county.
Earlier this month, Bernadette Bowness said: ""We're going to become a third world area because of our inaccessibility to a consultant-led unit.
""If ladies have to be transferred, mothers may die, babies may die.
""If babies have foetal distress, what with the transfer time they may end up brain damaged.""
A public consultation exercise will be launched next month to gauge opinion on the future direction of services provided by the trust.
The organisation has been in special measures since 2014 after Care Quality Commission inspectors judged it to be failing to provide a sufficiently high level of care in a number of areas.",Further doubt has been cast over the future of specialist-led maternity care at a Cumbrian hospital.,37183351
98,"Celtic have not lost a domestic game this season ahead of their Scottish Cup semi-final against Rangers.
And Lovenkrands, 37, insists reaching the cup final in May should be all the motivation the Ibrox players need.
""I don't think it's anything to do with being the first team to beat them,"" the Dane said.
""With the Old Firm, you have to win. If you are playing for Rangers, you have to go and beat your rivals and Celtic will say the same.
""I don't think anybody would be looking at it from a Rangers point of view, that we want to be the first team to beat them this season.
""You need to approach every game to win it.""
Lovenkrands spent six years at Ibrox and scored twice, including a late winner, in the 3-2 Scottish Cup final win over Celtic at Hampden in 2002.
He also scored the eventual winner in the 2-1 League Cup final defeat of Celtic at the national stadium the following year.
And the former Newcastle United and Schalke player, who won 22 Denmark caps, would like to see a new Rangers hero emerge on Sunday.
""I would hope someone could come out and grab that chance,"" he explained.
""I grabbed my chance and these things happen in Old Firm games. It happens for Celtic players, like Henrik Larsson, he did fantastic scoring goals against Rangers.
""You get your chance and it is about grabbing it and hopefully someone will go and grab the headlines.""
Celtic, who have already won the Premiership title and the League Cup, are 33 points clear of Rangers in the league.
The Ibrox outfit go into Sunday's match having won three games and drawn two under new manager Pedro Caixinha.
""Anything can happen in football,"" Lovenkrands added. ""I have always said it is 50-50 in an Old Firm game.
""Celtic have won the league comfortably and deservedly so. But Rangers have stepped up in the last couple of games.
""They have changed their manager and they have changed their way of playing. I like the way they have changed and the more direct approach suits the players better, they seem to be getting the results.
""But it is all about what happens on the day, a challenge after five minutes can change the whole run of the game.""","Ending Celtic's unbeaten domestic record should not be the focus of Rangers players on Sunday, according to former Ibrox forward Peter Lovenkrands.",39622090
